Date,PX_LAST,YLD_CNV_MID
8/29/2021,1.31,1.31
7/30/2021,1.224,1.224
6/30/2021,1.469,1.469
5/31/2021,1.596,1.596
4/30/2021,1.628,1.628
3/31/2021,1.742,1.742
2/26/2021,1.407,1.407
1/29/2021,1.067,1.067
12/31/2020,0.916,0.916
11/30/2020,0.841,0.841
10/30/2020,0.875,0.875
9/30/2020,0.685,0.685
8/31/2020,0.706,0.706
7/31/2020,0.529,0.529
6/30/2020,0.657,0.657
5/29/2020,0.653,0.653
4/30/2020,0.64,0.64
3/31/2020,0.67,0.67
2/28/2020,1.15,1.15
1/31/2020,1.508,1.508
12/31/2019,1.919,1.919
11/29/2019,1.777,1.777
10/31/2019,1.692,1.692
9/30/2019,1.666,1.666
8/30/2019,1.498,1.498
7/31/2019,2.015,2.015
6/28/2019,2.006,2.006
5/31/2019,2.125,2.125
4/30/2019,2.503,2.503
3/29/2019,2.406,2.406
2/28/2019,2.716,2.716
1/31/2019,2.63,2.63
12/31/2018,2.685,2.685
11/30/2018,2.989,2.989
10/31/2018,3.144,3.144
9/28/2018,3.062,3.062
8/31/2018,2.861,2.861
7/31/2018,2.961,2.961
6/29/2018,2.861,2.861
5/31/2018,2.859,2.859
4/30/2018,2.954,2.954
3/30/2018,2.74,2.74
2/28/2018,2.862,2.862
1/31/2018,2.706,2.706
12/29/2017,2.406,2.406
11/30/2017,2.411,2.411
10/31/2017,2.38,2.38
9/29/2017,2.334,2.334
8/31/2017,2.118,2.118
7/31/2017,2.295,2.295
6/30/2017,2.305,2.305
5/31/2017,2.204,2.204
4/28/2017,2.281,2.281
3/31/2017,2.388,2.388
2/28/2017,2.391,2.391
1/31/2017,2.454,2.454
12/30/2016,2.445,2.445
11/30/2016,2.382,2.382
10/31/2016,1.826,1.826
9/30/2016,1.595,1.595
8/31/2016,1.581,1.581
7/29/2016,1.454,1.454
6/30/2016,1.471,1.471
5/31/2016,1.847,1.847
4/29/2016,1.834,1.834
3/31/2016,1.77,1.77
2/29/2016,1.736,1.736
1/29/2016,1.922,1.922
12/31/2015,2.27,2.27
11/30/2015,2.207,2.207
10/30/2015,2.143,2.143
9/30/2015,2.038,2.038
8/31/2015,2.219,2.219
7/31/2015,2.181,2.181
6/30/2015,2.354,2.354
5/29/2015,2.122,2.122
4/30/2015,2.033,2.033
3/31/2015,1.924,1.924
2/27/2015,1.994,1.994
1/30/2015,1.642,1.642
12/31/2014,2.172,2.172
11/28/2014,2.165,2.165
10/31/2014,2.336,2.336
9/30/2014,2.49,2.49
8/29/2014,2.344,2.344
7/31/2014,2.559,2.559
6/30/2014,2.531,2.531
5/30/2014,2.477,2.477
4/30/2014,2.647,2.647
3/31/2014,2.719,2.719
2/28/2014,2.648,2.648
1/31/2014,2.645,2.645
12/31/2013,3.029,3.029
11/29/2013,2.745,2.745
10/31/2013,2.555,2.555
9/30/2013,2.611,2.611
8/30/2013,2.785,2.785
7/31/2013,2.577,2.577
6/28/2013,2.487,2.487
5/31/2013,2.129,2.129
4/30/2013,1.673,1.673
3/29/2013,1.85,1.85
2/28/2013,1.876,1.876
1/31/2013,1.986,1.986
12/31/2012,1.758,1.758
11/30/2012,1.616,1.616
10/31/2012,1.691,1.691
9/28/2012,1.634,1.634
8/31/2012,1.549,1.549
7/31/2012,1.469,1.469
6/29/2012,1.646,1.646
5/31/2012,1.559,1.559
4/30/2012,1.915,1.915
3/30/2012,2.211,2.211
2/29/2012,1.972,1.972
1/31/2012,1.798,1.798
12/30/2011,1.877,1.877
11/30/2011,2.069,2.069
10/31/2011,2.114,2.114
9/30/2011,1.916,1.916
8/31/2011,2.224,2.224
7/29/2011,2.797,2.797
6/30/2011,3.161,3.161
5/31/2011,3.062,3.062
4/29/2011,3.288,3.288
3/31/2011,3.472,3.472
2/28/2011,3.429,3.429
1/31/2011,3.372,3.372
12/31/2010,3.295,3.295
11/30/2010,2.799,2.799
10/29/2010,2.601,2.601
9/30/2010,2.512,2.512
8/31/2010,2.47,2.47
7/30/2010,2.907,2.907
6/30/2010,2.933,2.933
5/31/2010,3.287,3.287
4/30/2010,3.655,3.655
3/31/2010,3.828,3.828
2/26/2010,3.614,3.614
1/29/2010,3.586,3.586
12/31/2009,3.839,3.839
11/30/2009,3.2,3.2
10/30/2009,3.385,3.385
9/30/2009,3.307,3.307
8/31/2009,3.399,3.399
7/31/2009,3.481,3.481
6/30/2009,3.535,3.535
5/29/2009,3.461,3.461
4/30/2009,3.121,3.121
3/31/2009,2.665,2.665
2/27/2009,3.015,3.015
1/30/2009,2.842,2.842
12/31/2008,2.214,2.214
11/28/2008,2.922,2.922
10/31/2008,3.955,3.955
9/30/2008,3.825,3.825
8/29/2008,3.813,3.813
7/31/2008,3.948,3.948
6/30/2008,3.971,3.971
5/30/2008,4.061,4.061
4/30/2008,3.73,3.73
3/31/2008,3.411,3.411
2/29/2008,3.511,3.511
1/31/2008,3.595,3.595
12/31/2007,4.025,4.025
11/30/2007,3.94,3.94
10/31/2007,4.473,4.473
9/28/2007,4.588,4.588
8/31/2007,4.531,4.531
7/31/2007,4.741,4.741
6/29/2007,5.026,5.026
5/31/2007,4.89,4.89
4/30/2007,4.624,4.624
3/30/2007,4.646,4.646
2/28/2007,4.568,4.568
1/31/2007,4.81,4.81
12/29/2006,4.704,4.704
11/30/2006,4.46,4.46
10/31/2006,4.6,4.6
9/29/2006,4.63,4.63
8/31/2006,4.728,4.728
7/31/2006,4.981,4.981
6/30/2006,5.138,5.138
5/31/2006,5.121,5.121
4/28/2006,5.053,5.053
3/31/2006,4.849,4.849
2/28/2006,4.553,4.553
1/31/2006,4.517,4.517
12/30/2005,4.393,4.393
11/30/2005,4.486,4.486
10/31/2005,4.553,4.553
9/30/2005,4.326,4.326
8/31/2005,4.016,4.016
7/29/2005,4.278,4.278
6/30/2005,3.915,3.915
5/31/2005,3.983,3.983
4/29/2005,4.2,4.2
3/31/2005,4.483,4.483
2/28/2005,4.379,4.379
1/31/2005,4.13,4.13
12/31/2004,4.22,4.22
11/30/2004,4.351,4.351
10/29/2004,4.025,4.025
9/30/2004,4.121,4.121
8/31/2004,4.119,4.119
7/30/2004,4.477,4.477
6/30/2004,4.583,4.583
5/31/2004,4.649,4.649
4/30/2004,4.507,4.507
3/31/2004,3.837,3.837
2/27/2004,3.973,3.973
1/30/2004,4.134,4.134
12/31/2003,4.248,4.248
11/28/2003,4.334,4.334
10/31/2003,4.295,4.295
9/30/2003,3.939,3.939
8/29/2003,4.466,4.466
7/31/2003,4.408,4.408
6/30/2003,3.515,3.515
5/30/2003,3.372,3.372
4/30/2003,3.838,3.838
3/31/2003,3.798,3.798
2/28/2003,3.692,3.692
1/31/2003,3.964,3.964
12/31/2002,3.816,3.816
11/29/2002,4.207,4.207
10/31/2002,3.894,3.894
9/30/2002,3.596,3.596
8/30/2002,4.143,4.143
7/31/2002,4.461,4.461
6/28/2002,4.799,4.799
5/31/2002,5.045,5.045
4/30/2002,5.087,5.087
3/29/2002,5.396,5.396
2/28/2002,4.877,4.877
1/31/2002,5.033,5.033
12/31/2001,5.051,5.051
11/30/2001,4.752,4.752
10/31/2001,4.232,4.232
9/28/2001,4.588,4.588
8/31/2001,4.832,4.832
7/31/2001,5.054,5.054
6/29/2001,5.412,5.412
5/31/2001,5.381,5.381
4/30/2001,5.338,5.338
3/30/2001,4.917,4.917
2/28/2001,4.896,4.896
1/31/2001,5.114,5.114
12/29/2000,5.112,5.112
11/30/2000,5.468,5.468
10/31/2000,5.751,5.751
9/29/2000,5.802,5.802
8/31/2000,5.725,5.725
7/31/2000,6.031,6.031
6/30/2000,6.031,6.031
5/31/2000,6.272,6.272
4/28/2000,6.212,6.212
3/31/2000,6.004,6.004
2/29/2000,6.409,6.409
1/31/2000,6.665,6.665
12/31/1999,6.442,6.442
11/30/1999,6.191,6.191
10/29/1999,6.024,6.024
9/30/1999,5.877,5.877
8/31/1999,5.97,5.97
7/30/1999,5.903,5.903
6/30/1999,5.78,5.78
5/31/1999,5.622,5.622
4/30/1999,5.348,5.348
3/31/1999,5.242,5.242
2/26/1999,5.287,5.287
1/29/1999,4.651,4.651
12/31/1998,4.648,4.648
11/30/1998,4.714,4.714
10/30/1998,4.605,4.605
9/30/1998,4.42,4.42
8/31/1998,4.976,4.976
7/31/1998,5.494,5.494
6/30/1998,5.446,5.446
5/29/1998,5.552,5.552
4/30/1998,5.671,5.671
3/31/1998,5.654,5.654
2/27/1998,5.622,5.622
1/30/1998,5.505,5.505
12/31/1997,5.742,5.742
11/28/1997,5.874,5.874
10/31/1997,5.831,5.831
9/30/1997,6.103,6.103
8/29/1997,6.339,6.339
7/31/1997,6.011,6.011
6/30/1997,6.5,6.5
5/30/1997,6.659,6.659
4/30/1997,6.718,6.718
3/31/1997,6.903,6.903
2/28/1997,6.552,6.552
1/31/1997,6.494,6.494
12/31/1996,6.418,6.418
11/29/1996,6.044,6.044
10/31/1996,6.339,6.339
9/30/1996,6.703,6.703
8/30/1996,6.943,6.943
7/31/1996,6.794,6.794
6/28/1996,6.711,6.711
5/31/1996,6.852,6.852
4/30/1996,6.67,6.67
3/29/1996,6.327,6.327
2/29/1996,6.098,6.098
1/31/1996,5.58,5.58
12/29/1995,5.572,5.572
11/30/1995,5.741,5.741
10/31/1995,6.02,6.02
9/29/1995,6.182,6.182
8/31/1995,6.284,6.284
7/31/1995,6.426,6.426
6/30/1995,6.203,6.203
5/31/1995,6.284,6.284
4/28/1995,7.055,7.055
3/31/1995,7.196,7.196
2/28/1995,7.201,7.201
1/31/1995,7.581,7.581
12/30/1994,7.822,7.822
11/30/1994,7.906,7.906
10/31/1994,7.807,7.807
9/30/1994,7.603,7.603
