Date,Real GDP,Nominal
07-31-2021,2.6,9.5
06-30-2021,2.9,9.6
05-31-2021,0.7,6.5
04-30-2021,5.5,12.8
03-31-2021,33.3,42.5
02-28-2021,-18.2,-15.3
01-31-2021,32.7,38.5
12-31-2020,-2.3,2.9
11-30-2020,-13.1,-12.2
10-31-2020,10.4,11.6
09-30-2020,13.2,17.1
08-31-2020,17.1,17.6
07-31-2020,13.2,19.3
06-30-2020,92.4,103.9
05-31-2020,69.5,71.9
04-30-2020,-71.9,-74.4
03-31-2020,-49.7,-48.4
02-29-2020,8.6,7.7
01-31-2020,0,2.3
12-31-2019,0.2,2
11-30-2019,3.4,4.1
10-31-2019,1.9,4.9
09-30-2019,1.7,2.4
08-31-2019,1,2.6
07-31-2019,1.3,3.7
06-30-2019,7.3,7
05-31-2019,3.1,4.5
04-30-2019,5.4,9.9
03-31-2019,0.5,2.4
02-28-2019,-1.6,0.4
01-31-2019,6.6,8.9
12-31-2018,5.4,3.2
11-30-2018,-5.3,-2.6
10-31-2018,4.5,7.9
09-30-2018,-2.4,0.2
08-31-2018,5.8,6
07-31-2018,0.5,0.8
06-30-2018,2,4.1
05-31-2018,3.1,7.2
04-30-2018,8.6,13.3
03-31-2018,-4.4,-1
02-28-2018,6.2,8.9
01-31-2018,1.9,3.7
12-31-2017,2.9,5
11-30-2017,9,10.6
10-31-2017,0.5,3.2
09-30-2017,5.4,10.4
08-31-2017,1.8,4.9
07-31-2017,0,0.9
06-30-2017,5.2,7.1
05-31-2017,7.1,8.1
04-30-2017,-3,-1.3
03-31-2017,4.8,5.4
02-28-2017,1.2,2.4
01-31-2017,-0.2,2.5
12-31-2016,2.2,5.2
11-30-2016,6.4,7.8
10-31-2016,-4.1,-1.5
09-30-2016,4.3,7.3
08-31-2016,7.7,7.6
07-31-2016,0.1,0.8
06-30-2016,2.7,4.2
05-31-2016,-3.1,-0.6
04-30-2016,0.4,5.2
03-31-2016,8.1,10.8
02-29-2016,-2,-2.2
01-31-2016,5,3.4
12-31-2015,3.5,3.2
11-30-2015,-4.1,-3.6
10-31-2015,-0.7,-0.4
09-30-2015,6.2,5
08-31-2015,0.2,0.6
07-31-2015,0.6,2
06-30-2015,3.4,4.7
05-31-2015,-3.4,1.3
04-30-2015,13.7,12
03-31-2015,-9.3,-4.6
02-28-2015,5.4,9
01-31-2015,11.1,6.1
12-31-2014,-2,-2.1
11-30-2014,0.7,1.8
10-31-2014,6.8,7.5
09-30-2014,-4.6,-3.9
08-31-2014,6.5,7.3
07-31-2014,6.6,9.7
06-30-2014,5.2,5.8
05-31-2014,4.5,8.7
04-30-2014,9.4,11.5
03-31-2014,0,2.6
02-28-2014,5.3,6.3
01-31-2014,-7.1,-6.9
12-31-2013,-3,0.3
11-30-2013,5.3,8.7
10-31-2013,5.2,7.6
09-30-2013,-0.6,1
08-31-2013,4.6,6.1
07-31-2013,2.5,3.9
06-30-2013,7.6,10.8
05-31-2013,-2,0.3
04-30-2013,0.9,1
03-31-2013,4.9,4.3
02-28-2013,-10,-6.9
01-31-2013,9.7,11.8
12-31-2012,7.2,8.8
11-30-2012,6,5.6
10-31-2012,-5.1,-2.4
09-30-2012,3.7,7
08-31-2012,-6.2,-3.4
07-31-2012,5.5,7.9
06-30-2012,-1.8,-0.3
05-31-2012,2.9,2.9
04-30-2012,7.4,9.9
03-31-2012,-12.3,-11
02-29-2012,19.1,22.9
01-31-2012,3.9,8.4
12-31-2011,-0.3,-0.6
11-30-2011,-3.4,-1.4
10-31-2011,22.3,20.7
09-30-2011,-8.8,-7.7
08-31-2011,5.6,8
07-31-2011,3.4,7.5
06-30-2011,-3.7,-3.4
05-31-2011,-5.2,-1.4
04-30-2011,2.9,5.5
03-31-2011,17.4,19.9
02-28-2011,-1.7,1.9
01-31-2011,-10.1,-8.9
12-31-2010,7.4,9.1
11-30-2010,-3.5,-1.7
10-31-2010,3.2,6.7
09-30-2010,6,7.9
08-31-2010,-2.3,-0.2
07-31-2010,5.7,6
06-30-2010,5.9,6.7
05-31-2010,-1.4,1.1
04-30-2010,4.8,7.8
03-31-2010,7.8,9.8
02-28-2010,2.9,2.3
01-31-2010,8.1,9.7
12-31-2009,-6.4,-5.5
11-30-2009,-5.1,-2.4
10-31-2009,16.9,18.3
09-30-2009,0.6,0.9
08-31-2009,7.6,9
07-31-2009,-1.5,-2.4
06-30-2009,0.4,2.4
05-31-2009,1.4,1.5
04-30-2009,-0.4,-0.9
03-31-2009,-2.1,-5.9
02-28-2009,-3.9,-2.9
01-31-2009,3.1,4.1
12-31-2008,-19.1,-19.8
11-30-2008,1.1,0.2
10-31-2008,-9.1,-8.6
09-30-2008,-12.3,-8.5
08-31-2008,-5.5,-4.4
07-31-2008,-9.5,-4.9
06-30-2008,17.5,20.7
05-31-2008,3.1,3.7
04-30-2008,3.9,5.7
03-31-2008,1.9,5.3
02-29-2008,-15.5,-13.2
01-31-2008,2.6,2.9
12-31-2007,3.9,4.3
11-30-2007,1.9,4.1
10-31-2007,-1.6,-0.3
09-30-2007,2.5,5.7
08-31-2007,15.2,15.8
07-31-2007,-3.8,-1.6
06-30-2007,1.4,3.5
05-31-2007,-0.4,3.2
04-30-2007,10.5,12.2
03-31-2007,-7.4,-5
02-28-2007,8.2,13.6
01-31-2007,-1,3.7
12-31-2006,-1.5,2.8
11-30-2006,8.8,8.4
10-31-2006,0.2,2.8
09-30-2006,4.9,4.4
08-31-2006,4.7,8.4
07-31-2006,-3.7,0.8
06-30-2006,-1.6,0.1
05-31-2006,5.9,8
04-30-2006,-6.3,-1.5
03-31-2006,10.6,13.4
02-28-2006,-1.5,4.4
01-31-2006,4,7.4
12-31-2005,14.3,13.3
11-30-2005,2.8,6.1
10-31-2005,1.6,5.2
09-30-2005,-3.1,2.4
08-31-2005,2.9,5.3
07-31-2005,1.2,6.5
06-30-2005,13,14.2
05-31-2005,-2.5,2.5
04-30-2005,2.6,5.3
03-31-2005,2.3,5
02-28-2005,-2.1,0.1
01-31-2005,11.2,15.7
12-31-2004,4.7,8
11-30-2004,0.7,4.2
10-31-2004,8.6,14
09-30-2004,1.4,3.6
08-31-2004,3.1,2
07-31-2004,10.9,16.2
06-30-2004,-7.6,-4.6
05-31-2004,11.6,14.8
04-30-2004,-3.7,-0.1
03-31-2004,7.6,11.7
02-29-2004,11.2,12.9
01-31-2004,-6.9,-2.5
12-31-2003,3.3,4.8
11-30-2003,7.1,9.1
10-31-2003,1.4,3.7
09-30-2003,7,10.4
08-31-2003,6.6,11
07-31-2003,3,6.7
06-30-2003,16,14.8
05-31-2003,1.4,2
04-30-2003,6.6,9.2
03-31-2003,-5.2,-3.7
02-28-2003,6.1,8.2
01-31-2003,-2,0.5
12-31-2002,7.7,9
11-30-2002,3.3,6
10-31-2002,-1.2,0.1
09-30-2002,0.6,5.2
08-31-2002,-6.8,-5.3
07-31-2002,6.4,7.7
06-30-2002,4.8,7.3
05-31-2002,-0.2,1.3
04-30-2002,4.7,5
03-31-2002,6.1,7.6
02-28-2002,-7.4,-4.2
01-31-2002,3.3,3.7
12-31-2001,19.6,20.6
11-30-2001,-6.1,-5.7
10-31-2001,10.5,15.9
09-30-2001,-17.8,-19.2
08-31-2001,14.6,13.5
07-31-2001,-3.6,-0.6
06-30-2001,-8,-5.4
05-31-2001,5.7,8.9
04-30-2001,9.6,10.2
03-31-2001,-2.6,2
02-28-2001,-2.4,-0.5
01-31-2001,-0.6,3.8
12-31-2000,-1.1,-1.4
11-30-2000,0.1,2.5
10-31-2000,2.3,4.9
09-30-2000,2.9,5.6
08-31-2000,10.3,12.7
07-31-2000,-7.7,-6.1
06-30-2000,3.8,7.2
05-31-2000,-2.2,0.3
04-30-2000,17.2,18.1
03-31-2000,6.3,10.8
02-29-2000,5.9,9.7
01-31-2000,-11.9,-8.3
12-31-1999,13.3,13.2
11-30-1999,9.1,9.9
10-31-1999,5.9,9.7
09-30-1999,4.3,10.2
08-31-1999,3.2,-0.1
07-31-1999,11.3,15.2
06-30-1999,0.5,1.7
05-31-1999,3.9,4.9
04-30-1999,-0.1,3.8
03-31-1999,6.7,7.3
02-28-1999,9.6,7.2
01-31-1999,3.3,6.6
12-31-1998,-2.8,0
11-30-1998,5,5.4
10-31-1998,4.3,7.3
09-30-1998,17.5,15.9
08-31-1998,6.3,6.7
07-31-1998,-2.4,2.7
06-30-1998,10.9,11
05-31-1998,3,3.7
04-30-1998,-2.5,-0.9
03-31-1998,3.5,5.3
02-28-1998,19.2,18
01-31-1998,-6.2,-5.4
12-31-1997,9.8,11.1
11-30-1997,-2.4,-1.6
10-31-1997,8,5.1
09-30-1997,0.1,8.1
08-31-1997,3.1,5
07-31-1997,10.1,7.6
06-30-1997,11.1,13.8
05-31-1997,-10.9,-4.9
04-30-1997,30.3,18.4
03-31-1997,-7.7,1.1
02-28-1997,8.8,11.6
01-31-1997,7.4,9.5
12-31-1996,-4.6,-5
11-30-1996,2.4,4.6
10-31-1996,8.3,12.3
09-30-1996,5,7.5
08-31-1996,3.6,3.6
07-31-1996,4.5,5.4
06-30-1996,5.6,8.5
05-31-1996,-3.9,-2.3
04-30-1996,17.1,18.5
03-31-1996,6.6,9.4
02-29-1996,1.9,1.9
01-31-1996,-2.4,2.8
12-31-1995,11.7,12.2
11-30-1995,2.1,0
10-31-1995,-5,0.4
09-30-1995,9.5,11.6
08-31-1995,6.8,7.1
07-31-1995,-5.8,-2
06-30-1995,12.1,13.9
05-31-1995,3.4,3.5
04-30-1995,-3.6,0.4
03-31-1995,6.4,8
02-28-1995,-8.3,-8.2
01-31-1995,0.3,6.1
12-31-1994,12.7,12.5