Date,SPX Index  (R1),VIX Index  (L1)
9/30/2021,4307.54,23.14
8/31/2021,4522.68,16.48
7/30/2021,4395.26,18.24
6/30/2021,4297.5,15.83
5/31/2021,4204.11,16.76
4/30/2021,4181.17,18.61
3/31/2021,3972.89,19.4
2/26/2021,3811.15,27.95
1/29/2021,3714.24,33.09
12/31/2020,3756.07,22.75
11/30/2020,3621.63,20.57
10/30/2020,3269.96,38.02
9/30/2020,3363,26.37
8/31/2020,3500.31,26.41
7/31/2020,3271.12,24.46
6/30/2020,3100.29,30.43
5/29/2020,3044.31,27.51
4/30/2020,2912.43,34.15
3/31/2020,2584.59,53.54
2/28/2020,2954.22,40.11
1/31/2020,3225.52,18.84
12/31/2019,3230.78,13.78
11/29/2019,3140.98,12.62
10/31/2019,3037.56,13.22
9/30/2019,2976.74,16.24
8/30/2019,2926.46,18.98
7/31/2019,2980.38,16.12
6/28/2019,2941.76,15.08
5/31/2019,2752.06,18.71
4/30/2019,2945.83,13.12
3/29/2019,2834.4,13.71
2/28/2019,2784.49,14.78
1/31/2019,2704.1,16.57
12/31/2018,2506.85,25.42
11/30/2018,2760.17,18.07
10/31/2018,2711.74,21.23
9/28/2018,2913.98,12.12
8/31/2018,2901.52,12.86
7/31/2018,2816.29,12.83
6/29/2018,2718.37,16.09
5/31/2018,2705.27,15.43
4/30/2018,2648.05,15.93
3/30/2018,2640.87,19.97
2/28/2018,2713.83,19.85
1/31/2018,2823.81,13.54
12/29/2017,2673.61,11.04
11/30/2017,2647.58,11.28
10/31/2017,2575.26,10.18
9/29/2017,2519.36,9.51
8/31/2017,2471.65,10.59
7/31/2017,2470.3,10.26
6/30/2017,2423.41,11.18
5/31/2017,2411.8,10.41
4/28/2017,2384.2,10.82
3/31/2017,2362.72,12.37
2/28/2017,2363.64,12.92
1/31/2017,2278.87,11.99
12/30/2016,2238.83,14.04
11/30/2016,2198.81,13.33
10/31/2016,2126.15,17.06
9/30/2016,2168.27,13.29
8/31/2016,2170.95,13.42
7/29/2016,2173.6,11.87
6/30/2016,2098.86,15.63
5/31/2016,2096.96,14.19
4/29/2016,2065.3,15.7
3/31/2016,2059.74,13.95
2/29/2016,1932.23,20.55
1/29/2016,1940.24,20.2
12/31/2015,2043.94,18.21
11/30/2015,2080.41,16.13
10/30/2015,2079.36,15.07
9/30/2015,1920.03,24.5
8/31/2015,1972.18,28.43
7/31/2015,2103.84,12.12
6/30/2015,2063.11,18.23
5/29/2015,2107.39,13.84
4/30/2015,2085.51,14.55
3/31/2015,2067.89,15.29
2/27/2015,2104.5,13.34
1/30/2015,1994.99,20.97
12/31/2014,2058.9,19.2
11/28/2014,2067.56,13.33
10/31/2014,2018.05,14.03
9/30/2014,1972.29,16.31
8/29/2014,2003.37,11.98
7/31/2014,1930.67,16.95
6/30/2014,1960.23,11.57
5/30/2014,1923.57,11.4
4/30/2014,1883.95,13.41
3/31/2014,1872.34,13.88
2/28/2014,1859.45,14
1/31/2014,1782.59,18.41
12/31/2013,1848.36,13.72
11/29/2013,1805.81,13.7
10/31/2013,1756.54,13.75
9/30/2013,1681.55,16.6
8/30/2013,1632.97,17.01
7/31/2013,1685.73,13.45
6/28/2013,1606.28,16.86
5/31/2013,1630.74,16.3
4/30/2013,1597.57,13.52
3/29/2013,1569.19,12.7
2/28/2013,1514.68,15.51
1/31/2013,1498.11,14.28
12/31/2012,1426.19,18.02
11/30/2012,1416.18,15.87
10/31/2012,1412.16,18.6
9/28/2012,1440.67,15.73
8/31/2012,1406.58,17.47
7/31/2012,1379.32,18.93
6/29/2012,1362.16,17.08
5/31/2012,1310.33,24.06
4/30/2012,1397.91,17.15
3/30/2012,1408.47,15.5
2/29/2012,1365.68,18.43
1/31/2012,1312.41,19.44
12/30/2011,1257.61,23.4
11/30/2011,1246.96,27.8
10/31/2011,1253.3,29.96
9/30/2011,1131.42,42.96
8/31/2011,1218.89,31.62
7/29/2011,1292.28,25.25
6/30/2011,1320.64,16.52
5/31/2011,1345.2,15.45
4/29/2011,1363.61,14.75
3/31/2011,1325.83,17.74
2/28/2011,1327.22,18.35
1/31/2011,1286.12,19.53
12/31/2010,1257.64,17.75
11/30/2010,1180.55,23.54
10/29/2010,1183.26,21.2
9/30/2010,1141.2,23.7
8/31/2010,1049.33,26.05
7/30/2010,1101.6,23.5
6/30/2010,1030.71,34.54
5/31/2010,1089.41,32.07
4/30/2010,1186.69,22.05
3/31/2010,1169.43,17.59
2/26/2010,1104.49,19.5
1/29/2010,1073.87,24.62
12/31/2009,1115.1,21.68
11/30/2009,1095.63,24.51
10/30/2009,1036.2,30.69
9/30/2009,1057.08,25.61
8/31/2009,1020.63,26.01
7/31/2009,987.48,25.92
6/30/2009,919.32,26.35
5/29/2009,919.14,28.92
4/30/2009,872.81,36.5
3/31/2009,797.87,44.14
2/27/2009,735.09,46.35
1/30/2009,825.88,44.84
12/31/2008,903.25,40
11/28/2008,896.24,55.28
10/31/2008,968.75,59.89
9/30/2008,1166.36,39.39
8/29/2008,1282.83,20.65
7/31/2008,1267.38,22.94
6/30/2008,1280,23.95
5/30/2008,1400.38,17.83
4/30/2008,1385.59,20.79
3/31/2008,1322.7,25.61
2/29/2008,1330.63,26.54
1/31/2008,1378.55,26.2
12/31/2007,1468.36,22.5
11/30/2007,1481.14,22.87
10/31/2007,1549.38,18.53
9/28/2007,1526.75,18
8/31/2007,1473.99,23.38
7/31/2007,1455.28,23.52
6/29/2007,1503.35,16.23
5/31/2007,1530.62,13.05
4/30/2007,1482.37,14.22
3/30/2007,1420.86,14.64
2/28/2007,1406.82,15.42
1/31/2007,1438.24,10.42
12/29/2006,1418.3,11.56
11/30/2006,1400.63,10.91
10/31/2006,1377.94,11.1
9/29/2006,1335.85,11.98
8/31/2006,1303.82,12.31
7/31/2006,1276.66,14.95
6/30/2006,1270.2,13.08
5/31/2006,1270.09,16.44
4/28/2006,1310.61,11.59
3/31/2006,1294.83,11.39
2/28/2006,1280.66,12.34
1/31/2006,1280.09,12.95
12/30/2005,1248.29,12.07
11/30/2005,1249.48,12.06
10/31/2005,1207.01,15.32
9/30/2005,1228.81,11.92
8/31/2005,1220.33,12.6
7/29/2005,1234.18,11.57
6/30/2005,1191.33,12.04
5/31/2005,1191.5,13.29
4/29/2005,1156.85,15.31
3/31/2005,1180.59,14.02
2/28/2005,1203.6,12.08
1/31/2005,1181.27,12.82
12/31/2004,1211.92,13.29
11/30/2004,1173.82,13.24
10/29/2004,1130.2,16.27
9/30/2004,1114.58,13.34
8/31/2004,1104.24,15.29
7/30/2004,1101.72,15.32
6/30/2004,1140.84,14.34
5/31/2004,1120.68,15.5
4/30/2004,1107.31,17.19
3/31/2004,1126.21,16.74
2/27/2004,1144.94,14.55
1/30/2004,1131.13,16.63
12/31/2003,1111.92,18.31
11/28/2003,1058.2,16.32
10/31/2003,1050.71,16.1
9/30/2003,995.97,22.72
8/29/2003,1008.01,18.63
7/31/2003,990.31,19.49
6/30/2003,974.5,19.52
5/30/2003,963.59,19.47
4/30/2003,916.92,21.21
3/31/2003,848.18,29.15
2/28/2003,841.15,29.63
1/31/2003,855.7,31.17
12/31/2002,879.82,28.62
11/29/2002,936.31,27.5
10/31/2002,885.76,31.14
9/30/2002,815.28,39.69
8/30/2002,916.07,32.64
7/31/2002,911.62,32.03
6/28/2002,989.81,25.4
5/31/2002,1067.14,19.98
4/30/2002,1076.92,21.91
3/29/2002,1147.39,17.4
2/28/2002,1106.73,21.59
1/31/2002,1130.21,21.09
12/31/2001,1148.08,23.8
11/30/2001,1139.45,23.84
10/31/2001,1059.78,33.56
9/28/2001,1040.94,31.93
8/31/2001,1133.58,24.92
7/31/2001,1211.23,21.62
6/29/2001,1224.42,19.06
5/31/2001,1255.82,22.64
4/30/2001,1249.46,25.48
3/30/2001,1160.33,28.64
2/28/2001,1239.94,28.35
1/31/2001,1366.01,22.02
12/29/2000,1320.28,26.85
11/30/2000,1314.95,29.65
10/31/2000,1429.4,23.63
9/29/2000,1436.51,20.57
8/31/2000,1517.68,16.84
7/31/2000,1430.83,20.74
6/30/2000,1454.6,19.54
5/31/2000,1420.6,23.65
4/28/2000,1452.43,26.2
3/31/2000,1498.58,24.11
2/29/2000,1366.42,23.37
1/31/2000,1394.46,24.95
12/31/1999,1469.25,24.64
11/30/1999,1388.91,24.18
10/29/1999,1362.93,22.2
9/30/1999,1282.71,25.41
8/31/1999,1320.41,24.45
7/30/1999,1328.72,24.64
6/30/1999,1372.71,21.09
5/31/1999,1301.84,25.39
4/30/1999,1335.18,25.07
3/31/1999,1286.37,23.26
2/26/1999,1238.33,27.88
1/29/1999,1279.64,26.25
12/31/1998,1229.23,24.42
11/30/1998,1163.63,26.01
10/30/1998,1098.67,28.05
9/30/1998,1017.01,40.95
8/31/1998,957.28,44.28
7/31/1998,1120.67,24.8
6/30/1998,1133.84,19.71
5/29/1998,1090.82,21.32
4/30/1998,1111.75,21.18
3/31/1998,1101.75,24.22
2/27/1998,1049.34,18.55
1/30/1998,980.28,21.47
12/31/1997,970.43,24.01
11/28/1997,955.4,27.43
10/31/1997,914.62,35.09
9/30/1997,947.28,22.91
8/29/1997,899.47,24.76
7/31/1997,954.29,21.48
6/30/1997,885.14,21.53
5/30/1997,848.28,19.19
4/30/1997,801.34,20.06
3/31/1997,757.12,22.14
2/28/1997,790.82,21.1
1/31/1997,786.16,19.47
12/31/1996,740.74,20.92
11/29/1996,757.02,17.14
10/31/1996,705.27,18.11
9/30/1996,687.31,16.95
8/30/1996,651.99,17.01
7/31/1996,639.95,19.46
6/28/1996,670.63,13.68
5/31/1996,669.12,16.07
4/30/1996,654.17,15.83
3/29/1996,645.5,18.88
2/29/1996,640.43,17.04
1/31/1996,636.02,12.53
12/29/1995,615.93,12.52
11/30/1995,605.37,11.58
10/31/1995,581.5,13.83
9/29/1995,584.41,12.74
8/31/1995,561.88,11.52
7/31/1995,562.06,13.49
6/30/1995,544.75,11.38
5/31/1995,533.4,12.85
4/28/1995,514.71,11.75
3/31/1995,500.71,13.37
2/28/1995,487.39,11.75
1/31/1995,470.42,11.96
12/30/1994,459.27,13.2
11/30/1994,453.69,15.95
10/31/1994,472.35,14.56
